alpha, EPE, AAE, ,,alpha,Exp, Reported,,Alpha,Demo EPE,Experimental EPE
11,0.85426474,7.803246, ,,11,0.8981777,0.85426474,,11,0.23442,0.23447639
12,0.84803087,7.751796, ,,12,0.9005687,0.84803087,,12,0.23511,0.23465444
13,0.8433772,7.666063, ,,13,0.8690923,0.8433772,,13,0.23622,0.23597065
14,0.8411348,7.5640316, ,,14,0.8788808,0.8411348,,14,0.23874,0.23829216
15,0.8469531,7.5709267, ,,15,0.88014525,0.8469531,,15,0.24146,0.24123469
16,0.848479,7.5779657, ,,16,0.89218086,0.848479,,16,0.24485,0.2445032
17,0.8511118,7.558381, ,,17,0.8925301,0.8511118,,17,0.24827,0.24802603
18,0.8560427,7.5756335, ,,18,0.88877594,0.8560427,,18,0.25185,0.25153106
19,0.8592441,7.56432, ,,19,0.88475496,0.8592441,,19,0.25617,0.2551172
,,,,,,,,,,,
,,,,,0.999522622,,,,,,
