alpha, EPE, AAE, 
6.0, 1.1085947, 9.619085, 
7.0, 1.025896, 9.302041, 
8.0, 0.98346, 8.934367, 
9.0, 0.96053225, 8.673222, 
10.0, 0.9093616, 8.258228, 
11.0, 0.8981777, 8.163039, 
12.0, 0.9005687, 8.200455, 
13.0, 0.8690923, 7.9335318, 
14.0, 0.8788808, 7.9364285, 
15.0, 0.88014525, 7.9230714, 
16.0, 0.89218086, 8.014917, 
17.0, 0.8925301, 7.9784865, 
18.0, 0.88877594, 7.9193873, 
19.0, 0.88475496, 7.850336, 
20.0, 0.8854073, 7.8239226, 
21.0, 0.8926747, 7.8653708, 
22.0, 0.9027413, 7.93533, 
23.0, 0.9055497, 7.9404097, 
24.0, 0.89044106, 7.743714, 
