alpha, EPE, AAE, 
6.0, 0.7345963, 6.4511724, 
7.0, 0.54029286, 5.7207737, 
8.0, 0.37168938, 4.1736526, 
9.0, 0.36681125, 4.0936437, 
10.0, 0.3496465, 3.8535194, 
11.0, 0.34536824, 3.7585719, 
12.0, 0.33461404, 3.6055894, 
13.0, 0.331651, 3.535062, 
14.0, 0.32959312, 3.4838052, 
15.0, 0.32824677, 3.4385757, 
16.0, 0.32786775, 3.4041998, 
17.0, 0.32775024, 3.3694623, 
18.0, 0.32861066, 3.346554, 
19.0, 0.32956475, 3.3233383, 
20.0, 0.33117077, 3.308699, 
21.0, 0.33263096, 3.292972, 
22.0, 0.3349597, 3.280412, 
23.0, 0.33648714, 3.2660751, 
24.0, 0.33877796, 3.262543, 
