alpha, EPE, AAE, 
1.0, 5.8923073, 27.499466, 
2.0, 0.6394089, 12.461196, 
3.0, 0.34335738, 9.6633415, 
4.0, 0.2797061, 8.555635, 
5.0, 0.26030263, 8.1202135, 
6.0, 0.27492672, 8.042232, 
7.0, 0.24265929, 7.747895, 
8.0, 0.23882003, 7.6781163, 
9.0, 0.2340295, 7.6197762, 
10.0, 0.23394465, 7.652451, 
11.0, 0.23447639, 7.6880155, 
12.0, 0.23465444, 7.7127323, 
13.0, 0.23597065, 7.7553134, 
14.0, 0.23829216, 7.834179, 
15.0, 0.24123469, 7.9273467, 
16.0, 0.2445032, 8.024924, 
17.0, 0.24802603, 8.132226, 
18.0, 0.25153106, 8.235872, 
19.0, 0.2551172, 8.343847, 
