alpha, EPE, AAE, 
1.0, 7.6764708, 25.41767, 
2.0, 2.5522802, 15.490799, 
3.0, 1.4187207, 10.419008, 
4.0, 1.1575077, 8.964031, 
5.0, 1.0490457, 8.511941, 
6.0, 1.0321916, 8.629416, 
7.0, 1.0056044, 8.808003, 
8.0, 0.9869451, 8.983732, 
9.0, 0.97694, 8.926729, 
10.0, 0.9675003, 9.137849, 
11.0, 0.9951621, 9.4336605, 
12.0, 1.0153956, 9.745239, 
13.0, 1.0344943, 9.9821415, 
14.0, 1.0595529, 10.286779, 
15.0, 1.0916308, 10.647848, 
16.0, 1.1089507, 10.987572, 
17.0, 1.1237333, 11.317476, 
18.0, 1.109227, 11.630262, 
19.0, 1.1355586, 12.015469, 
