alpha, EPE, AAE, 
1.0, 3.4502983, 27.892195, 
2.0, 1.5656738, 16.02882, 
3.0, 0.65493625, 9.359958, 
4.0, 0.5576334, 8.100542, 
5.0, 0.45064777, 6.9693093, 
6.0, 0.42993116, 6.7507057, 
7.0, 0.4154996, 6.595895, 
8.0, 0.408791, 6.630131, 
9.0, 0.41100222, 6.759908, 
10.0, 0.4178902, 6.9447494, 
11.0, 0.4225376, 7.0849514, 
12.0, 0.4291699, 7.230912, 
13.0, 0.43587685, 7.354293, 
14.0, 0.4448406, 7.515766, 
15.0, 0.45257053, 7.6576443, 
16.0, 0.4597697, 7.780181, 
17.0, 0.4694424, 7.91647, 
18.0, 0.47309792, 7.986751, 
19.0, 0.46505836, 7.853515, 
